"","occurenceId","sourceTaxonName","targetTaxonName","interactionTypeName","localityContinent","localityCountry","roostCat1"
"11005","McClureEtal1967-p3","Hipposideros diadema","Ornithodorus batuensis","parasitized by","Asia","Malaysia",""
"11006","McCrackenBradbury1981-a1","Phyllostomus hastatus","","roost in","Caribbean","Trinidad and Tobago","cave"
"11007","McCrackenBradbury1981-a10","Phyllostomus hastatus","","roost in","Caribbean","Trinidad and Tobago","cave"
"11008","McCrackenBradbury1981-a11","Phyllostomus hastatus","","roost in","Caribbean","Trinidad and Tobago","cave"
"11009","McCrackenBradbury1981-a12","Phyllostomus hastatus","","roost in","Caribbean","Trinidad and Tobago","cave"
"11010","McCrackenBradbury1981-a2","Phyllostomus hastatus","","roost in","Caribbean","Trinidad and Tobago","cave"
"11011","McCrackenBradbury1981-a3","Phyllostomus hastatus","","roost in","Caribbean","Trinidad and Tobago","cave"
"11012","McCrackenBradbury1981-a4","Phyllostomus hastatus","","roost in","Caribbean","Trinidad and Tobago","cave"
"11013","McCrackenBradbury1981-a5","Phyllostomus hastatus","","roost in","Caribbean","Trinidad and Tobago","cave"
"11014","McCrackenBradbury1981-a6","Phyllostomus hastatus","","roost in","Caribbean","Trinidad and Tobago","cave"
"11015","McCrackenBradbury1981-a7","Phyllostomus hastatus","","roost in","Caribbean","Trinidad and Tobago","cave"
"11016","McCrackenBradbury1981-a8","Phyllostomus hastatus","","roost in","Caribbean","Trinidad and Tobago","cave"
"11017","McCrackenBradbury1981-a9","Phyllostomus hastatus","","roost in","Caribbean","Trinidad and Tobago","cave"
"11018","McCrackenBradbury1981-o1","Phyllostomus hastatus","cockroaches","preys on","Caribbean","Trinidad and Tobago",""
"11019","McCrackenBradbury1981-o2","Phyllostomus hastatus","passalid beetles","preys on","Caribbean","Trinidad and Tobago",""
"11020","McCrackenBradbury1981-o3","Phyllostomus hastatus","Atta cephalotes","preys on","Caribbean","Trinidad and Tobago",""
"11021","McCrackenBradbury1981-o4","Phyllostomus hastatus","cucurbits ","eats","Caribbean","Trinidad and Tobago",""
"11022","McCrackenBradbury1981-o5","Phyllostomus hastatus","Cecropia peltata","eats","Caribbean","Trinidad and Tobago",""
"11023","McCrackenBradbury1981-o6","Phyllostomus hastatus","Hymenaea courbaril","eats","Caribbean","Trinidad and Tobago",""
"11024","McCrackenBradbury1981-o7","Phyllostomus hastatus","Hymenaea courbaril","eats","Caribbean","Trinidad and Tobago",""
"11025","McCrackenBradbury1981-o8","Phyllostomus hastatus","Lecythis zabucajo","eats","Caribbean","Trinidad and Tobago",""
"11026","MenzelEtal2001-a1","Nycticeius humeralis","Tillandsia usneoides","roost in","North America","United States","vegetated area"
"11027","MenzelEtal2001-a10","Nycticeius humeralis","","roost in","","","tree"
"11028","MenzelEtal2001-a11","Nycticeius humeralis","","roost in","","","anthropogenic"
