referenceFileName,TaxonName,bat,trophic,roost,#N/A,usageKey_gbif,scientificName_gbif,rank_gbif,status_gbif,confidence_gbif,matchType_gbif,kingdom_gbif,phylum_gbif,order_gbif,family_gbif,genus_gbif,kingdomKey_gbif,phylumKey_gbif,classKey_gbif,orderKey_gbif,familyKey_gbif,genusKey_gbif,synonym_gbif,class_gbif,species_gbif,speciesKey_gbif,acceptedUsageKey_gbif,phylum_Expert,class_Expert,order_Expert,family_Expert,genus_Expert,species_Expert,canonicalName_Expert,authorship_Expert,scientificName_normalized_GBIF,key_GBIF,TaxonMatch_GBIF,confidence_GBIF,status_GBIF,rank_GBIF,kingdom_GBIF,phylum_GBIF,class_GBIF,order_GBIF,family_GBIF,genus_GBIF,species_GBIF,canonicalName_GBIF,authorship_GBIF,scientificName_normalized_Expert,key_GBIF
Arita_Ortega_1998,Artibeus hirsutus,yes,NA,NA,NA,2433263,"Artibeus hirsutus K.Andersen, 1906",SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Chiroptera,Phyllostomidae,Artibeus,1,44,359,734,9366,2433258,FALSE,Mammalia,Artibeus hirsutus,2433263,NA,,,,,,,,,,,,,,,,,,,,,,,,,
Goodwin_Greenhall_1961,Artibeus jamaicencis,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,
Goodwin_Greenhall_1961,Artibeus jamaicensis,yes,NA,NA,NA,2433272,"Artibeus jamaicensis Leach, 1821",SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Chiroptera,Phyllostomidae,Artibeus,1,44,359,734,9366,2433258,FALSE,Mammalia,Artibeus jamaicensis,2433272,NA,,,,,,,,,,,,,,,,,,,,,,,,,
Goodwin_Greenhall_1961,Artibeus jamaicensis,yes,NA,NA,NA,2433272,"Artibeus jamaicensis Leach, 1821",SPECIES,ACCEPTED,94,FUZZY,Animalia,Chordata,Chiroptera,Phyllostomidae,Artibeus,1,44,359,734,9366,2433258,FALSE,Mammalia,Artibeus jamaicensis,2433272,NA,,,,,,,,,,,,,,,,,,,,,,,,,
Goodwin_Greenhall_1961,Artibeus jamaicensis,yes,NA,NA,NA,2433272,"Artibeus jamaicensis Leach, 1821",SPECIES,ACCEPTED,94,FUZZY,Animalia,Chordata,Chiroptera,Phyllostomidae,Artibeus,1,44,359,734,9366,2433258,FALSE,Mammalia,Artibeus jamaicensis,2433272,NA,,,,,,,,,,,,,,,,,,,,,,,,,
Goodwin_Greenhall_1961,Artibeus jamaicensis,yes,NA,NA,NA,2433272,"Artibeus jamaicensis Leach, 1821",SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Chiroptera,Phyllostomidae,Artibeus,1,44,359,734,9366,2433258,FALSE,Mammalia,Artibeus jamaicensis,2433272,NA,,,,,,,,,,,,,,,,,,,,,,,,,
Heithaus_etal_1975,Artibeus jamaicensis,yes,NA,NA,NA,2433272,"Artibeus jamaicensis Leach, 1821",SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Chiroptera,Phyllostomidae,Artibeus,1,44,359,734,9366,2433258,FALSE,Mammalia,Artibeus jamaicensis,2433272,NA,,,,,,,,,,,,,,,,,,,,,,,,,
Heithaus_etal_1975,Artibeus jamaicensis,yes,NA,NA,NA,2433272,"Artibeus jamaicensis Leach, 1821",SPECIES,ACCEPTED,94,FUZZY,Animalia,Chordata,Chiroptera,Phyllostomidae,Artibeus,1,44,359,734,9366,2433258,FALSE,Mammalia,Artibeus jamaicensis,2433272,NA,,,,,,,,,,,,,,,,,,,,,,,,,
Heithaus_etal_1975,Artibeus jamaicensis,yes,NA,NA,NA,2433272,"Artibeus jamaicensis Leach, 1821",SPECIES,ACCEPTED,94,FUZZY,Animalia,Chordata,Chiroptera,Phyllostomidae,Artibeus,1,44,359,734,9366,2433258,FALSE,Mammalia,Artibeus jamaicensis,2433272,NA,,,,,,,,,,,,,,,,,,,,,,,,,
Heithaus_etal_1975,Artibeus jamaicensis,yes,NA,NA,NA,2433272,"Artibeus jamaicensis Leach, 1821",SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Chiroptera,Phyllostomidae,Artibeus,1,44,359,734,9366,2433258,FALSE,Mammalia,Artibeus jamaicensis,2433272,NA,,,,,,,,,,,,,,,,,,,,,,,,,
Kunz_McCracken_1996,Artibeus jamaicensis,yes,NA,NA,NA,2433272,"Artibeus jamaicensis Leach, 1821",SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Chiroptera,Phyllostomidae,Artibeus,1,44,359,734,9366,2433258,FALSE,Mammalia,Artibeus jamaicensis,2433272,NA,,,,,,,,,,,,,,,,,,,,,,,,,
Kunz_McCracken_1996,Artibeus jamaicensis,yes,NA,NA,NA,2433272,"Artibeus jamaicensis Leach, 1821",SPECIES,ACCEPTED,94,FUZZY,Animalia,Chordata,Chiroptera,Phyllostomidae,Artibeus,1,44,359,734,9366,2433258,FALSE,Mammalia,Artibeus jamaicensis,2433272,NA,,,,,,,,,,,,,,,,,,,,,,,,,
Kunz_McCracken_1996,Artibeus jamaicensis,yes,NA,NA,NA,2433272,"Artibeus jamaicensis Leach, 1821",SPECIES,ACCEPTED,94,FUZZY,Animalia,Chordata,Chiroptera,Phyllostomidae,Artibeus,1,44,359,734,9366,2433258,FALSE,Mammalia,Artibeus jamaicensis,2433272,NA,,,,,,,,,,,,,,,,,,,,,,,,,
Kunz_McCracken_1996,Artibeus jamaicensis,yes,NA,NA,NA,2433272,"Artibeus jamaicensis Leach, 1821",SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Chiroptera,Phyllostomidae,Artibeus,1,44,359,734,9366,2433258,FALSE,Mammalia,Artibeus jamaicensis,2433272,NA,,,,,,,,,,,,,,,,,,,,,,,,,
Elangovan_etal_1999,Artibeus jamaicensis,yes,NA,NA,NA,2433272,"Artibeus jamaicensis Leach, 1821",SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Chiroptera,Phyllostomidae,Artibeus,1,44,359,734,9366,2433258,FALSE,Mammalia,Artibeus jamaicensis,2433272,NA,,,,,,,,,,,,,,,,,,,,,,,,,
Elangovan_etal_1999,Artibeus jamaicensis,yes,NA,NA,NA,2433272,"Artibeus jamaicensis Leach, 1821",SPECIES,ACCEPTED,94,FUZZY,Animalia,Chordata,Chiroptera,Phyllostomidae,Artibeus,1,44,359,734,9366,2433258,FALSE,Mammalia,Artibeus jamaicensis,2433272,NA,,,,,,,,,,,,,,,,,,,,,,,,,
Elangovan_etal_1999,Artibeus jamaicensis,yes,NA,NA,NA,2433272,"Artibeus jamaicensis Leach, 1821",SPECIES,ACCEPTED,94,FUZZY,Animalia,Chordata,Chiroptera,Phyllostomidae,Artibeus,1,44,359,734,9366,2433258,FALSE,Mammalia,Artibeus jamaicensis,2433272,NA,,,,,,,,,,,,,,,,,,,,,,,,,
Elangovan_etal_1999,Artibeus jamaicensis,yes,NA,NA,NA,2433272,"Artibeus jamaicensis Leach, 1821",SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Chiroptera,Phyllostomidae,Artibeus,1,44,359,734,9366,2433258,FALSE,Mammalia,Artibeus jamaicensis,2433272,NA,,,,,,,,,,,,,,,,,,,,,,,,,
Alvarez_1963,Artibeus jamaicensis,yes,NA,NA,NA,2433272,"Artibeus jamaicensis Leach, 1821",SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Chiroptera,Phyllostomidae,Artibeus,1,44,359,734,9366,2433258,FALSE,Mammalia,Artibeus jamaicensis,2433272,NA,,,,,,,,,,,,,,,,,,,,,,,,,
